id,name,content_type_id,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add site,7,add_site
26,Can change site,7,change_site
27,Can delete site,7,delete_site
28,Can view site,7,view_site
29,Can add email address,8,add_emailaddress
30,Can change email address,8,change_emailaddress
31,Can delete email address,8,delete_emailaddress
32,Can view email address,8,view_emailaddress
33,Can add email confirmation,9,add_emailconfirmation
34,Can change email confirmation,9,change_emailconfirmation
35,Can delete email confirmation,9,delete_emailconfirmation
36,Can view email confirmation,9,view_emailconfirmation
37,Can add social account,10,add_socialaccount
38,Can change social account,10,change_socialaccount
39,Can delete social account,10,delete_socialaccount
40,Can view social account,10,view_socialaccount
41,Can add social application,11,add_socialapp
42,Can change social application,11,change_socialapp
43,Can delete social application,11,delete_socialapp
44,Can view social application,11,view_socialapp
45,Can add social application token,12,add_socialtoken
46,Can change social application token,12,change_socialtoken
47,Can delete social application token,12,delete_socialtoken
48,Can view social application token,12,view_socialtoken
49,Can add address,13,add_address
50,Can change address,13,change_address
51,Can delete address,13,delete_address
52,Can view address,13,view_address
53,Can add category,14,add_category
54,Can change category,14,change_category
55,Can delete category,14,delete_category
56,Can view category,14,view_category
57,Can add items,15,add_items
58,Can change items,15,change_items
59,Can delete items,15,delete_items
60,Can view items,15,view_items
61,Can add owner info,16,add_ownerinfo
62,Can change owner info,16,change_ownerinfo
63,Can delete owner info,16,delete_ownerinfo
64,Can view owner info,16,view_ownerinfo
65,Can add user profile,17,add_userprofile
66,Can change user profile,17,change_userprofile
67,Can delete user profile,17,delete_userprofile
68,Can view user profile,17,view_userprofile
69,Can add sub category,18,add_subcategory
70,Can change sub category,18,change_subcategory
71,Can delete sub category,18,delete_subcategory
72,Can view sub category,18,view_subcategory
73,Can add order item,19,add_orderitem
74,Can change order item,19,change_orderitem
75,Can delete order item,19,delete_orderitem
76,Can view order item,19,view_orderitem
77,Can add order,20,add_order
78,Can change order,20,change_order
79,Can delete order,20,delete_order
80,Can view order,20,view_order
81,Can add item images,21,add_itemimages
82,Can change item images,21,change_itemimages
83,Can delete item images,21,delete_itemimages
84,Can view item images,21,view_itemimages
85,Can add item details,22,add_itemdetails
86,Can change item details,22,change_itemdetails
87,Can delete item details,22,delete_itemdetails
88,Can view item details,22,view_itemdetails
89,Can add cattle info,23,add_cattleinfo
90,Can change cattle info,23,change_cattleinfo
91,Can delete cattle info,23,delete_cattleinfo
92,Can view cattle info,23,view_cattleinfo
93,Can add user dashboard module,24,add_userdashboardmodule
94,Can change user dashboard module,24,change_userdashboardmodule
95,Can delete user dashboard module,24,delete_userdashboardmodule
96,Can view user dashboard module,24,view_userdashboardmodule
97,Can add bookmark,25,add_bookmark
98,Can change bookmark,25,change_bookmark
99,Can delete bookmark,25,delete_bookmark
100,Can view bookmark,25,view_bookmark
101,Can add pinned application,26,add_pinnedapplication
102,Can change pinned application,26,change_pinnedapplication
103,Can delete pinned application,26,delete_pinnedapplication
104,Can view pinned application,26,view_pinnedapplication
