id,app_label,model
8,account,emailaddress
9,account,emailconfirmation
1,admin,logentry
3,auth,group
2,auth,permission
4,auth,user
5,contenttypes,contenttype
24,dashboard,userdashboardmodule
25,jet,bookmark
26,jet,pinnedapplication
6,sessions,session
13,shop,address
14,shop,category
23,shop,cattleinfo
22,shop,itemdetails
21,shop,itemimages
15,shop,items
20,shop,order
19,shop,orderitem
16,shop,ownerinfo
18,shop,subcategory
17,shop,userprofile
7,sites,site
10,socialaccount,socialaccount
11,socialaccount,socialapp
12,socialaccount,socialtoken
