id,ordered,quantity,item_id,user_id
34,0,1,S_BC0062,1
35,0,1,S_FA009,1
36,0,1,,1
37,0,1,S_BC0024,17
38,0,1,S_BC0026,17
39,0,1,S-GR0003,18
41,0,1,S_GR0004,20
42,0,2,S_GR0005,20
43,0,2,S_GR0023,20
44,0,1,S_HC0018,20
45,0,1,S_HC0025,20
47,0,1,S_SF003,23
48,0,1,S_SF024,23
49,0,1,S_BC0026,1
50,0,3,S_BC0024,1
51,0,1,S_BC0033,1
52,0,2,,24
53,0,1,S_GR0002,25
54,0,1,S_GR0021,25
55,0,1,S_SF023,1
56,0,1,S_SF014,1
57,0,1,S_BS0061,1
58,0,1,S-GR0003,1
59,0,1,S_BC0059,26
60,0,1,S_SF014,26
61,0,2,S_BC0033,26
62,0,1,S_K0903,1
